SD,SGG,Last Name,Population
서울특별시,중구,정(鄭),4862
서울특별시,중구,제(諸),19
서울특별시,중구,제갈(諸葛),5
서울특별시,중구,조(曺),874
서울특별시,중구,조(趙),2591
서울특별시,중구,좌(左),6
서울특별시,중구,주(周),64
서울특별시,중구,주(朱),500
서울특별시,중구,지(智),9
서울특별시,중구,지(池),405
서울특별시,중구,진(晋),16
서울특별시,중구,진(秦),43
서울특별시,중구,진(陣),0
서울특별시,중구,진(陳),334
서울특별시,중구,차(車),463
서울특별시,중구,채(蔡),313
서울특별시,중구,천(千),299
서울특별시,중구,최(催),11
서울특별시,중구,최(崔),5616
서울특별시,중구,추(秋),129
서울특별시,중구,탁(卓),53
서울특별시,중구,태(太),26
서울특별시,중구,팽(彭),12
서울특별시,중구,편(片),35
서울특별시,중구,표(表),90
서울특별시,중구,피(皮),13
서울특별시,중구,하(夏),0
서울특별시,중구,하(河),522
서울특별시,중구,한(韓),2104
서울특별시,중구,함(咸),224
서울특별시,중구,허(許),718
서울특별시,중구,현(玄),211
서울특별시,중구,형(邢),16
서울특별시,중구,호(扈),12
서울특별시,중구,호(胡),0
서울특별시,중구,홍(洪),1417
서울특별시,중구,황(黃),1523
서울특별시,중구,황보(皇甫),17
서울특별시,용산구,가(賈),39
서울특별시,용산구,간(簡),15
서울특별시,용산구,갈(葛),0
서울특별시,용산구,감(甘),12
서울특별시,용산구,강(姜),4645
서울특별시,용산구,강(康),448
서울특별시,용산구,견(甄),7
서울특별시,용산구,경(慶),50
서울특별시,용산구,경(景),20
서울특별시,용산구,계(桂),71
서울특별시,용산구,고(高),2028
서울특별시,용산구,공(孔),317
서울특별시,용산구,곽(郭),783
서울특별시,용산구,구(丘),78
서울특별시,용산구,구(具),798
서울특별시,용산구,국(鞠),105
서울특별시,용산구,권(權),2809
서울특별시,용산구,금(琴),62
서울특별시,용산구,기(奇),135
서울특별시,용산구,기타,1273
서울특별시,용산구,길(吉),173
서울특별시,용산구,김(金),44653
서울특별시,용산구,나(羅),746
서울특별시,용산구,남(南),1117
서울특별시,용산구,남궁(南宮),108
서울특별시,용산구,노(盧),1123
서울특별시,용산구,노(魯),265
서울특별시,용산구,단(段),14
서울특별시,용산구,당(唐),0
서울특별시,용산구,도(都),188
서울특별시,용산구,도(陶),7
서울특별시,용산구,동(董),30
서울특별시,용산구,두(杜),30
서울특별시,용산구,라(羅),140
서울특별시,용산구,류(柳),524
서울특별시,용산구,마(馬),154
서울특별시,용산구,맹(孟),103
서울특별시,용산구,명(明),132
서울특별시,용산구,모(牟),102
서울특별시,용산구,목(睦),45
서울특별시,용산구,문(文),2009
서울특별시,용산구,민(閔),897
서울특별시,용산구,박(朴),17273
서울특별시,용산구,반(潘),103
서울특별시,용산구,방(房),124
서울특별시,용산구,방(方),476
서울특별시,용산구,배(裵),1546
서울특별시,용산구,백(白),1609
서울특별시,용산구,범(范),11
서울특별시,용산구,변(卞),284
서울특별시,용산구,변(邊),255
서울특별시,용산구,복(卜),37
서울특별시,용산구,봉(奉),50
서울특별시,용산구,부(夫),22
서울특별시,용산구,빈(賓),6
서울특별시,용산구,사(史),48
서울특별시,용산구,사공(司空),11
서울특별시,용산구,상(尙),15
서울특별시,용산구,서(徐),3128
서울특별시,용산구,서문(西門),10
서울특별시,용산구,석(昔),30
서울특별시,용산구,석(石),228
서울특별시,용산구,선(宣),177
서울특별시,용산구,선우(鮮于),53
서울특별시,용산구,설(?),8
서울특별시,용산구,설(薛),154
서울특별시,용산구,성(成),828
서울특별시,용산구,소(蘇),225
서울특별시,용산구,소(邵),12
서울특별시,용산구,손(孫),1731
서울특별시,용산구,송(宋),2980
서울특별시,용산구,승(承),32
서울특별시,용산구,시(施),0
서울특별시,용산구,시(柴),7
서울특별시,용산구,신(愼),233
서울특별시,용산구,신(申),3410
서울특별시,용산구,신(辛),776
서울특별시,용산구,심(沈),1101
서울특별시,용산구,안(安),2827
서울특별시,용산구,양(梁),2043
서울특별시,용산구,양(楊),353
서울특별시,용산구,어(魚),82
서울특별시,용산구,엄(嚴),613
서울특별시,용산구,여(余),64
서울특별시,용산구,여(呂),210
서울특별시,용산구,연(延),153
서울특별시,용산구,염(廉),313
서울특별시,용산구,예(芮),44
서울특별시,용산구,오(吳),3464
서울특별시,용산구,옥(玉),103
서울특별시,용산구,온(溫),31
서울특별시,용산구,왕(王),103
서울특별시,용산구,용(龍),62
서울특별시,용산구,우(禹),814
서울특별시,용산구,원(元),573
서울특별시,용산구,위(魏),132
서울특별시,용산구,유(兪),739
서울특별시,용산구,유(劉),1236
서울특별시,용산구,유(庾),55
